mcn_nid,mcn_ntype,mcn_content,visioglobe,mcn_title_en,description_en,meta_tags,location
2703,gates_and_belts,"[{'mcn_title': 'Gate E2', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'E2 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200277', 'mcn_modified_on': '1748868101', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDE0152'],Gate E2,,,['1st Floor']
2704,gates_and_belts,"[{'mcn_title': 'Gate E1', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'E1 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200266', 'mcn_modified_on': '1748868101', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDE0138'],Gate E1,,,['1st Floor']
2705,gates_and_belts,"[{'mcn_title': 'Gate D9', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D9 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200214', 'mcn_modified_on': '1748868101', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0133'],Gate D9,,,['1st Floor']
2706,gates_and_belts,"[{'mcn_title': 'Gate D8', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D8 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200206', 'mcn_modified_on': '1748868101', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0137'],Gate D8,,,['1st Floor']
2707,gates_and_belts,"[{'mcn_title': 'Gate D7', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D7 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200199', 'mcn_modified_on': '1748868101', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0136'],Gate D7,,,['1st Floor']
2708,gates_and_belts,"[{'mcn_title': 'Gate D6', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D6 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200191', 'mcn_modified_on': '1748868102', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0138'],Gate D6,,,['1st Floor']
2709,gates_and_belts,"[{'mcn_title': 'Gate D5', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D5 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200183', 'mcn_modified_on': '1748868102', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0140'],Gate D5,,,['1st Floor']
2710,gates_and_belts,"[{'mcn_title': 'Gate D3', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199896', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D3 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200141', 'mcn_modified_on': '1748868102', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0145'],Gate D3,,,['1st Floor']
2711,gates_and_belts,"[{'mcn_title': 'Gate D1', 'mcn_body': None, 'mcn_meta_tags': '', 'mcn_created_on': '1742199857', 'mcn_modified_on': '1748868217', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D1 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': '', 'mcn_created_on': '1742200157', 'mcn_modified_on': '1748868104', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0146'],Gate D1,,,['1st Floor']
598,gates_and_belts,"[{'mcn_title': 'Gate D2', 'mcn_body': None, 'mcn_meta_tags': 'Boarding Gate D2, Departure Gate, Departing, Transiting, Transferring', 'mcn_created_on': '1656243198', 'mcn_modified_on': '1748868102', 'mcn_language': 'en', 'mcn_status': '1', 'mcn_header_image': []}, {'mcn_title': 'D2 بوابة', 'mcn_body': '<span dir=""RTL"" lang=""AR-SA""></span>', 'mcn_meta_tags': 'Boarding Gate D2, Departure Gate, Departing, Transiting, Transferring', 'mcn_created_on': '1660460252', 'mcn_modified_on': '1748868102', 'mcn_language': 'ar', 'mcn_status': '1', 'mcn_header_image': []}]",['B01-UL001-IDD0144'],Gate D2,,"Boarding Gate D2, Departure Gate, Departing, Transiting, Transferring",['1st Floor']
